*S. No.*,State,Active,Cured/Discharged/Migrated,Deaths,Total Confirmed
1,Andaman and Nicobar Islands,0,33,0,33
2,Andhra Pradesh,1341,2378,64,3783
3,Arunachal Pradesh,21,1,0,22
4,Assam,1109,277,4,1390
5,Bihar,2002,1900,24,3926
6,Chandigarh,91,199,4,294
7,Chhattisgarh,424,122,1,547
8,Dadar Nagar Haveli,2,1,0,3
9,Delhi,11565,8746,523,20834
10,Goa,29,42,0,71
11,Gujarat,5357,10780,1063,17200
12,Haryana,1280,1055,21,2356
13,Himachal Pradesh,213,122,5,340
14,Jammu and Kashmir,1624,946,31,2601
15,Jharkhand,358,296,5,659
16,Karnataka,2028,1328,52,3408
17,Kerala,708,608,10,1326
18,Ladakh,34,43,0,77
19,Madhya Pradesh,2922,5003,358,8283
20,Maharashtra,37543,30108,2362,70013
21,Manipur,72,11,0,83
22,Meghalaya,14,12,1,27
23,Mizoram,0,1,0,1
24,Nagaland,43,0,0,43
25,Odisha,852,1245,7,2104
26,Puducherry,49,25,0,74
27,Punjab,256,2000,45,2301
28,Rajasthan,2742,6040,198,8980
29,Sikkim,1,0,0,1
30,Tamil Nadu,10141,13170,184,23495
31,Telengana,1213,1491,88,2792
32,Tripura,247,173,0,420
33,Uttarakhand,730,222,6,958
34,Uttar Pradesh,3015,4843,217,8075
35,West Bengal,3141,2306,325,5772
,Total,97581,95527,5598,198706*
